"time","sum"
"2005-01",61
"2005-02",60
"2005-03",61
"2005-04",62
"2005-05",64
"2005-06",64
"2005-07",65
"2005-08",65
"2005-09",67
"2005-10",68
"2005-11",68
"2005-12",66
"2006-01",67
"2006-02",68
"2006-03",72
"2006-04",70
"2006-05",67
"2006-06",68
"2006-07",64
"2006-08",62
"2006-09",61
"2006-10",62
"2006-11",65
"2006-12",66
"2007-01",61
"2007-02",62
"2007-03",64
"2007-04",61
"2007-05",62
"2007-06",60
"2007-07",62
"2007-08",61
"2007-09",63
"2007-10",63
"2007-11",63
"2007-12",63
"2008-01",65
"2008-02",62
"2008-03",63
"2008-04",65
"2008-05",65
"2008-06",68
"2008-07",68
"2008-08",67
"2008-09",67
"2008-10",65
"2008-11",65
"2008-12",65
"2009-01",68
"2009-02",69
"2009-03",66
"2009-04",68
"2009-05",65
"2009-06",66
"2009-07",66
"2009-08",66
"2009-09",69
"2009-10",67
"2009-11",68
"2009-12",65
"2010-01",63
"2010-02",61
"2010-03",61
"2010-04",63
"2010-05",66
"2010-06",65
"2010-07",62
"2010-08",63
"2010-09",61
"2010-10",60
"2010-11",60
"2010-12",61
"2011-01",65
"2011-02",72
"2011-03",75
"2011-04",71
"2011-05",72
"2011-06",71
"2011-07",70
"2011-08",65
"2011-09",65
"2011-10",65
"2011-11",64
"2011-12",65
"2012-01",66
"2012-02",66
"2012-03",66
"2012-04",69
"2012-05",71
"2012-06",78
"2012-07",80
"2012-08",83
"2012-09",84
"2012-10",84
"2012-11",85
"2012-12",86
"2013-01",90
"2013-02",94
"2013-03",97
"2013-04",98
"2013-05",99
"2013-06",99
"2013-07",96
"2013-08",94
"2013-09",95
"2013-10",92
"2013-11",95
"2013-12",97
"2014-01",96
"2014-02",98
"2014-03",100
"2014-04",105
"2014-05",100
