Date,Sums
"2001_01",63
"2001_02",64
"2001_03",65
"2001_04",64
"2001_05",64
"2001_06",58
"2001_07",57
"2001_08",57
"2001_09",58
"2001_10",61
"2001_11",64
"2001_12",65
"2002_01",68
"2002_02",70
"2002_03",72
"2002_04",72
"2002_05",72
"2002_06",71
"2002_07",70
"2002_08",70
"2002_09",72
"2002_10",70
"2002_11",70
"2002_12",70
"2003_01",66
"2003_02",67
"2003_03",68
"2003_04",63
"2003_05",62
"2003_06",63
"2003_07",62
"2003_08",57
"2003_09",57
"2003_10",58
"2003_11",57
"2003_12",56
"2004_01",55
"2004_02",55
"2004_03",56
"2004_04",56
"2004_05",56
"2004_06",60
"2004_07",60
"2004_08",57
"2004_09",58
"2004_10",60
"2004_11",60
"2004_12",60
"2005_01",61
"2005_02",60
"2005_03",61
"2005_04",62
"2005_05",64
"2005_06",64
"2005_07",65
"2005_08",65
"2005_09",67
"2005_10",68
"2005_11",68
"2005_12",66
"2006_01",67
"2006_02",68
"2006_03",72
"2006_04",70
"2006_05",67
"2006_06",68
"2006_07",64
"2006_08",62
"2006_09",61
"2006_10",62
"2006_11",65
"2006_12",66
"2007_01",61
"2007_02",62
"2007_03",64
"2007_04",61
"2007_05",62
"2007_06",60
"2007_07",62
"2007_08",61
"2007_09",63
"2007_10",63
"2007_11",63
"2007_12",63
"2008_01",65
"2008_02",62
"2008_03",63
"2008_04",65
"2008_05",65
"2008_06",68
"2008_07",68
"2008_08",67
"2008_09",67
"2008_10",65
"2008_11",65
"2008_12",65
"2009_01",68
"2009_02",69
"2009_03",66
"2009_04",68
"2009_05",65
"2009_06",66
"2009_07",66
"2009_08",66
"2009_09",69
"2009_10",67
"2009_11",68
"2009_12",65
"2010_01",63
"2010_02",61
"2010_03",61
"2010_04",63
"2010_05",66
"2010_06",65
"2010_07",62
"2010_08",63
"2010_09",61
"2010_10",60
"2010_11",60
"2010_12",61
"2011_01",65
"2011_02",72
"2011_03",75
"2011_04",71
"2011_05",72
"2011_06",71
"2011_07",70
"2011_08",65
"2011_09",65
"2011_10",65
"2011_11",64
"2011_12",65
"2012_01",66
"2012_02",66
"2012_03",66
"2012_04",69
"2012_05",71
"2012_06",78
"2012_07",80
"2012_08",83
"2012_09",84
"2012_10",84
"2012_11",85
"2012_12",86
"2013_01",90
"2013_02",94
"2013_03",97
"2013_04",98
"2013_05",99
"2013_06",99
"2013_07",96
"2013_08",94
"2013_09",95
"2013_10",92
"2013_11",95
"2013_12",97
"2014_01",96
"2014_02",98
"2014_03",100
"2014_04",105
"2014_05",100
